timestamp,alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
2867,-0.01,999.66,-0.206,0.508,9.668,0.014,0.023,0.019,30.84
2878,-0.04,999.66,-0.187,0.508,9.653,0.013,0.023,0.018,30.86
2889,-0.01,999.66,-0.158,0.460,9.649,0.013,0.024,0.017,30.87
2901,0.01,999.65,-0.168,0.464,9.682,0.012,0.022,0.018,30.86
2912,0.02,999.65,-0.158,0.450,9.706,0.013,0.024,0.017,30.88
2924,0.02,999.65,-0.244,0.484,9.740,0.014,0.024,0.018,30.85
2936,-0.03,999.66,-0.211,0.455,9.629,0.014,0.024,0.015,30.84
2947,-0.02,999.66,-0.196,0.484,9.720,0.014,0.023,0.016,30.86
2959,-0.03,999.66,-0.177,0.484,9.677,0.013,0.025,0.016,30.87
2972,-0.01,999.66,-0.158,0.488,9.730,0.014,0.024,0.017,30.87
2984,0.02,999.65,-0.206,0.469,9.697,0.014,0.025,0.017,30.85
2995,0.02,999.65,-0.192,0.460,9.673,0.011,0.023,0.017,30.85
3006,0.03,999.65,-0.182,0.493,9.682,0.011,0.025,0.018,30.89
3018,0.05,999.65,-0.201,0.484,9.711,0.014,0.025,0.019,30.85
3029,0.04,999.65,-0.163,0.527,9.735,0.012,0.022,0.017,30.88
3041,-0.00,999.66,-0.187,0.474,9.711,0.014,0.022,0.019,30.85
3053,0.04,999.65,-0.172,0.450,9.768,0.013,0.022,0.017,30.86
3064,0.03,999.65,-0.206,0.484,9.682,0.013,0.023,0.018,30.85
3076,-0.00,999.66,-0.182,0.503,9.711,0.014,0.023,0.018,30.87
3090,-0.00,999.66,-0.148,0.474,9.663,0.013,0.024,0.015,30.88
3101,-0.02,999.66,-0.177,0.460,9.682,0.011,0.024,0.017,30.85
3113,-0.00,999.66,-0.187,0.445,9.677,0.013,0.021,0.018,30.85
3124,-0.01,999.66,-0.249,0.517,9.692,0.013,0.026,0.017,30.89
3136,0.01,999.65,-0.153,0.479,9.649,0.013,0.024,0.019,30.88
3147,-0.00,999.66,-0.187,0.469,9.668,0.014,0.023,0.017,30.85
3159,-0.00,999.66,-0.158,0.479,9.644,0.012,0.023,0.016,30.84
3171,-0.02,999.66,-0.187,0.479,9.629,0.012,0.025,0.016,30.87
3182,-0.04,999.66,-0.177,0.479,9.764,0.012,0.023,0.015,30.87
3194,-0.04,999.66,-0.196,0.464,9.740,0.012,0.022,0.017,30.86
3208,-0.02,999.66,-0.168,0.479,9.649,0.014,0.024,0.019,30.84
3219,-0.02,999.66,-0.192,0.460,9.610,0.012,0.024,0.017,30.84
3231,-0.03,999.66,-0.206,0.512,8.250,0.015,0.019,0.014,30.84
3242,-0.02,999.66,-0.441,0.484,9.582,0.009,0.024,0.015,30.84
3254,0.01,999.65,-0.479,0.225,10.477,0.010,0.031,0.018,30.85
3265,0.03,999.65,-0.057,0.273,9.524,0.011,0.026,0.021,30.87
3277,0.03,999.65,-0.196,0.579,9.639,0.014,0.023,0.017,30.85
3288,0.02,999.65,-0.215,0.594,9.534,0.015,0.023,0.016,30.84
3300,0.02,999.65,-0.220,0.646,9.783,0.011,0.023,0.014,30.84
3312,-0.01,999.66,-0.144,0.441,9.625,0.013,0.023,0.019,30.86
