alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
0.04,993.35,-0.809,0.498,9.807,0.032,0.024,-0.055,36.69
0.08,993.35,-0.852,0.450,9.749,0.031,0.023,-0.055,36.69
0.05,993.35,-0.804,0.503,9.744,0.031,0.023,-0.056,36.70
0.07,993.35,-0.833,0.455,9.701,0.033,0.022,-0.056,36.69
0.01,993.36,-0.814,0.460,9.749,0.031,0.022,-0.055,36.70
-0.01,993.36,-0.838,0.441,9.759,0.033,0.022,-0.055,36.69
-0.01,993.36,-0.848,0.464,9.730,0.032,0.025,-0.055,36.70
0.00,993.36,-0.857,0.479,9.754,0.033,0.022,-0.055,36.67
0.03,993.35,-0.828,0.460,9.754,0.030,0.024,-0.056,36.71
0.03,993.35,-0.809,0.474,9.730,0.033,0.022,-0.058,36.72
0.01,993.36,-0.814,0.493,9.749,0.033,0.023,-0.056,36.70
0.02,993.35,-0.843,0.460,9.730,0.032,0.023,-0.056,36.68
-0.02,993.36,-0.819,0.484,9.787,0.030,0.023,-0.056,36.71
-0.02,993.36,-0.809,0.450,9.773,0.031,0.022,-0.057,36.70
-0.00,993.36,-0.814,0.474,9.740,0.032,0.022,-0.056,36.70
0.01,993.36,-0.824,0.445,9.720,0.032,0.021,-0.056,36.68
0.03,993.35,-0.781,0.426,9.754,0.031,0.022,-0.056,36.70
0.06,993.35,-0.809,0.431,9.735,0.031,0.023,-0.057,36.70
0.03,993.35,-0.828,0.498,9.792,0.032,0.024,-0.055,36.69
0.00,993.36,-0.814,0.431,9.797,0.033,0.023,-0.056,36.67
0.01,993.36,-0.814,0.464,9.720,0.032,0.021,-0.055,36.69
0.01,993.36,-0.800,0.493,9.792,0.031,0.024,-0.055,36.70
-0.02,993.36,-0.824,0.441,9.730,0.031,0.022,-0.056,36.71
0.01,993.36,-0.809,0.450,9.730,0.032,0.024,-0.055,36.70
-0.00,993.36,-0.862,0.460,9.730,0.031,0.022,-0.056,36.68
0.05,993.35,-0.804,0.484,9.759,0.031,0.023,-0.056,36.71
0.01,993.36,-0.833,0.460,9.797,0.032,0.023,-0.055,36.70
0.00,993.36,-0.776,0.464,9.787,0.031,0.023,-0.055,36.69
-0.00,993.36,-0.833,0.484,9.725,0.031,0.023,-0.057,36.68
-0.03,993.36,-0.828,0.469,9.754,0.032,0.022,-0.056,36.68
0.03,993.35,-0.824,0.460,9.764,0.032,0.023,-0.056,36.70
0.03,993.35,-0.819,0.460,9.744,0.031,0.024,-0.054,36.69
0.04,993.35,-0.833,0.436,9.764,0.032,0.021,-0.057,36.69
0.09,993.35,-0.833,0.479,9.797,0.032,0.023,-0.057,36.70
0.07,993.35,-0.804,0.450,9.754,0.032,0.023,-0.055,36.67
0.07,993.35,-0.819,0.464,9.740,0.033,0.024,-0.056,36.69
0.08,993.35,-0.824,0.479,9.749,0.031,0.022,-0.055,36.69
0.04,993.35,-0.814,0.421,9.792,0.031,0.023,-0.056,36.70
0.01,993.36,-0.824,0.484,9.701,0.033,0.022,-0.056,36.69
0.02,993.35,-0.871,0.469,9.706,0.030,0.023,-0.055,36.71
0.06,993.35,-0.833,0.460,9.778,0.031,0.022,-0.056,36.68
0.06,993.35,-0.848,0.436,9.744,0.031,0.021,-0.056,36.70
0.02,993.35,-0.833,0.460,9.668,0.032,0.022,-0.056,36.71
