timestamp,alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
1544,-0.06,999.64,-0.733,0.168,9.649,0.010,0.014,0.017,29.14
1582,0.01,999.63,-0.771,0.158,9.706,0.010,0.006,0.014,29.11
1593,0.00,999.63,-0.646,0.139,9.577,0.012,0.001,0.018,29.11
1605,0.00,999.63,-0.690,0.129,9.682,0.013,0.010,0.014,29.13
1642,-0.01,999.63,-0.704,0.148,9.615,0.016,0.035,0.016,29.12
1656,0.02,999.63,-0.819,0.172,9.658,0.014,0.031,0.015,29.14
1694,-0.00,999.63,-0.699,0.139,9.649,0.008,0.027,0.016,29.11
1705,0.01,999.63,-0.795,0.115,9.668,0.012,0.024,0.017,29.13
1716,-0.03,999.64,-0.781,0.105,9.682,0.015,0.022,0.016,29.14
1754,-0.04,999.64,-0.685,0.172,9.649,0.013,0.018,0.018,29.15
1765,-0.01,999.63,-0.800,0.177,9.663,0.013,0.018,0.018,29.14
1803,0.01,999.63,-0.685,0.158,9.720,0.015,-0.013,0.019,29.10
1814,0.03,999.63,-0.632,0.187,9.610,0.014,-0.012,0.019,29.16
1826,0.02,999.63,-0.642,0.182,9.677,0.012,-0.005,0.017,29.14
1863,0.00,999.63,-0.699,0.124,9.649,0.006,0.027,0.017,29.17
1878,0.02,999.63,-0.675,0.144,9.620,0.013,0.025,0.020,29.16
1893,-0.03,999.64,-0.666,0.168,9.615,0.021,0.029,0.020,29.14
1904,-0.02,999.63,-0.536,0.172,9.653,0.021,0.038,0.020,29.15
1916,-0.03,999.64,-0.599,0.239,9.639,0.020,0.059,0.021,29.12
1927,-0.00,999.63,-0.536,0.134,9.625,0.016,0.078,0.021,29.14
1939,-0.01,999.63,-0.498,0.072,9.586,0.018,0.104,0.019,29.17
1950,-0.03,999.64,-0.656,0.177,9.639,0.023,0.132,0.021,29.15
1962,-0.02,999.64,-0.709,-0.057,9.644,0.022,0.139,0.028,29.15
1974,-0.03,999.64,-0.527,0.163,9.730,0.044,0.142,0.019,29.16
1985,-0.01,999.63,-0.503,-0.053,9.725,0.005,0.164,0.012,29.15
1999,0.01,999.63,-0.694,0.038,9.610,-0.034,0.175,-0.014,29.15
2011,0.01,999.63,-1.034,0.182,9.725,-0.031,0.144,0.015,29.15
2022,0.01,999.63,-1.039,0.220,9.716,-0.070,0.093,0.094,29.14
2034,0.03,999.63,-0.785,-0.086,9.515,-0.082,0.051,0.108,29.16
2045,0.01,999.63,-0.723,0.024,9.835,-0.101,0.039,0.093,29.17
2057,0.03,999.63,-0.742,0.110,9.725,-0.159,0.044,0.095,29.17
2068,0.02,999.63,-0.766,0.110,9.692,-0.241,0.081,0.084,29.16
2080,-0.02,999.63,-0.536,-0.551,10.204,-0.302,0.106,0.037,29.16
2092,-0.04,999.64,-1.259,0.426,9.826,-0.447,-0.034,-0.021,29.17
2103,-0.01,999.63,-1.025,0.479,9.131,-0.425,-0.029,0.018,29.21
2117,0.05,999.63,-0.795,-0.014,9.395,-0.266,0.102,0.066,29.16
2129,0.02,999.63,-0.742,-0.120,9.361,-0.191,0.111,0.090,29.15
2140,-0.02,999.63,-0.757,-0.081,9.577,-0.113,0.161,0.112,29.14
2151,0.02,999.63,-0.919,-0.029,9.649,-0.127,0.253,0.083,29.16
2163,0.03,999.63,-1.106,0.158,9.625,-0.160,0.223,0.109,29.17
2174,-0.00,999.63,-0.910,-0.177,9.596,-0.233,0.173,0.146,29.16
2186,-0.03,999.64,-0.781,-0.441,9.495,-0.251,0.175,0.168,29.17
2198,-0.00,999.63,-0.828,-0.551,9.620,-0.265,0.229,0.179,29.16
2209,-0.02,999.63,-0.962,-0.402,9.773,-0.295,0.309,0.168,29.17
2221,-0.03,999.64,-1.058,-0.225,9.955,-0.301,0.332,0.157,29.17
2235,-0.02,999.63,-1.039,-0.072,10.017,-0.274,0.317,0.142,29.17
2247,-0.04,999.64,-0.991,-0.110,9.998,-0.246,0.308,0.116,29.21
2258,-0.00,999.63,-1.015,-0.134,10.075,-0.197,0.318,0.075,29.19
2269,-0.03,999.64,-1.025,-0.010,10.080,-0.142,0.323,0.046,29.18
2281,-0.06,999.64,-1.058,-0.053,9.926,-0.116,0.336,0.041,29.19
2292,-0.06,999.64,-1.106,0.019,9.816,-0.116,0.376,0.027,29.17
2304,-0.04,999.64,-1.164,0.010,9.634,-0.119,0.419,0.020,29.16
2316,0.02,999.63,-1.279,-0.057,9.175,-0.122,0.477,0.013,29.19
2327,0.00,999.63,-1.235,-0.373,9.424,-0.096,0.560,0.033,29.19
2339,0.01,999.63,-1.695,-0.302,9.357,-0.074,0.561,0.065,29.19
2353,0.01,999.63,-1.714,-0.354,9.625,-0.068,0.498,0.088,29.17
2364,0.01,999.63,-1.767,-0.479,9.452,-0.084,0.437,0.122,29.21
2376,0.03,999.63,-1.714,-0.546,9.610,-0.114,0.411,0.134,29.17
2387,0.04,999.63,-1.853,-0.517,9.452,-0.176,0.394,0.155,29.20
2399,0.01,999.63,-1.810,-0.685,9.486,-0.238,0.389,0.178,29.18
2410,0.02,999.63,-1.839,-0.862,9.361,-0.298,0.389,0.197,29.18
2422,-0.00,999.63,-1.848,-1.092,9.457,-0.337,0.395,0.216,29.19
2433,0.02,999.63,-2.011,-1.202,9.361,-0.382,0.396,0.238,29.19
2445,0.00,999.63,-2.025,-1.245,9.294,-0.428,0.393,0.276,29.14
2457,0.01,999.63,-2.069,-1.470,9.165,-0.472,0.389,0.326,29.17
2471,0.01,999.63,-2.021,-1.427,9.160,-0.523,0.390,0.360,29.18
2482,0.02,999.63,-1.954,-1.609,9.155,-0.543,0.394,0.396,29.17
2494,-0.03,999.64,-2.093,-1.484,9.155,-0.535,0.368,0.393,29.18
2505,-0.03,999.64,-2.136,-1.369,9.189,-0.500,0.289,0.394,29.17
2517,-0.07,999.64,-2.088,-1.235,9.002,-0.456,0.179,0.380,29.18
2528,-0.02,999.64,-2.016,-1.120,8.988,-0.390,0.045,0.355,29.20
2540,-0.02,999.63,-2.025,-1.087,8.950,-0.320,-0.058,0.345,29.16
2551,-0.02,999.64,-2.006,-0.891,8.902,-0.260,-0.106,0.317,29.19
2563,-0.05,999.64,-2.064,-0.982,9.002,-0.241,-0.120,0.284,29.21
2575,-0.03,999.64,-2.160,-0.991,8.988,-0.223,-0.142,0.256,29.20
2589,-0.02,999.64,-2.174,-1.154,9.017,-0.185,-0.211,0.257,29.19
2600,-0.05,999.64,-2.112,-1.302,9.127,-0.132,-0.283,0.294,29.20
2612,-0.04,999.64,-2.121,-1.413,9.122,-0.078,-0.338,0.349,29.17
2623,-0.03,999.64,-2.045,-1.317,9.131,-0.027,-0.364,0.382,29.18
2634,-0.04,999.64,-1.997,-1.245,9.433,0.004,-0.404,0.395,29.19
2646,-0.02,999.63,-1.853,-1.063,9.615,0.051,-0.474,0.392,29.19
2658,-0.02,999.63,-1.700,-0.881,9.567,0.088,-0.528,0.362,29.19
