timestamp,alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
88333,1.00,1000.26,0.108,-1.592,9.057,-0.495,1.467,-0.007,29.70
88359,1.00,1000.26,-0.431,-2.030,8.712,-0.191,1.611,0.180,29.68
88385,1.03,1000.25,-1.235,-2.409,9.855,-0.312,1.832,0.099,29.69
88410,1.03,1000.25,-1.025,-2.447,10.039,-0.402,2.193,0.084,29.68
88436,0.99,1000.26,-2.610,-2.847,10.479,-0.558,2.024,0.062,29.69
88461,0.96,1000.26,-2.856,-2.078,10.341,-0.592,1.915,0.172,29.70
88491,0.96,1000.26,-3.725,-3.089,9.723,-0.948,2.368,0.112,29.69
88517,1.05,1000.25,-3.737,-2.595,8.298,-1.088,2.909,0.025,29.70
88542,1.04,1000.25,-4.355,-3.297,8.272,-0.828,3.200,0.056,29.70
88568,1.04,1000.25,-4.180,-3.120,7.025,-0.521,3.009,0.317,29.69
88594,1.07,1000.25,-5.160,-2.629,6.213,-0.207,2.612,0.460,29.69
88620,1.00,1000.26,-5.420,-2.701,5.801,-0.080,2.268,0.535,29.70
88649,1.03,1000.25,-5.902,-2.018,6.287,0.079,1.855,0.504,29.70
88675,1.03,1000.25,-5.679,-2.464,5.435,0.088,1.409,0.410,29.70
88701,1.01,1000.26,-6.483,-1.595,6.955,0.163,1.273,0.330,29.69
88727,1.03,1000.25,-6.146,-2.172,6.060,0.205,1.440,0.341,29.69
88753,1.05,1000.25,-6.531,-2.047,5.701,0.141,1.664,0.259,29.71
88778,1.02,1000.26,-7.228,-2.320,4.745,0.118,1.604,0.006,29.69
88808,0.97,1000.26,-7.989,-2.902,4.626,0.124,1.425,0.053,29.69
88834,0.99,1000.26,-8.320,-2.619,4.774,-0.026,1.438,0.147,29.69
88860,1.00,1000.26,-7.774,-2.425,3.381,-0.159,1.653,0.218,29.70
88885,1.05,1000.25,-8.507,-2.246,3.907,-0.211,1.509,0.252,29.69
88911,1.05,1000.25,-9.009,-3.086,4.671,-0.363,2.085,-0.151,29.71
88937,1.03,1000.25,-9.194,-2.820,1.848,-0.313,2.134,-0.199,29.71
88967,1.01,1000.26,-9.258,-3.366,2.274,-0.246,1.786,0.048,29.72
88992,1.04,1000.25,-8.782,-2.753,0.876,-0.191,1.377,0.267,29.72
89018,1.06,1000.25,-9.069,-2.382,0.855,-0.261,0.780,0.492,29.70
89044,1.02,1000.26,-9.160,-2.535,1.137,-0.241,0.523,0.308,29.71
89070,1.06,1000.25,-9.045,-1.946,1.247,-0.173,0.548,-0.115,29.69
89096,1.03,1000.25,-8.504,-2.358,1.288,-0.287,0.376,-0.526,29.69
89125,1.04,1000.25,-8.389,-2.490,1.760,-0.324,0.341,-1.093,29.68
89151,1.07,1000.25,-7.968,-3.505,0.517,-0.251,0.349,-1.259,29.69
89177,1.06,1000.25,-7.573,-4.252,0.043,-0.052,0.407,-0.836,29.69
89203,1.06,1000.25,-8.861,-3.062,-0.333,-0.145,0.298,-0.340,29.69
89228,1.09,1000.25,-10.783,-3.311,1.875,-0.160,-0.230,-0.339,29.71
89254,1.02,1000.26,-8.155,-4.116,0.292,-0.066,-0.214,-0.984,29.69
89284,1.02,1000.26,-8.329,-4.827,0.678,0.272,0.027,-0.740,29.68
89310,1.07,1000.25,-8.291,-4.254,0.733,0.471,0.636,-0.246,29.71
89336,1.03,1000.25,-8.370,-3.783,1.319,0.368,0.876,-0.131,29.70
89361,1.04,1000.25,-8.576,-4.235,0.165,0.013,0.800,-0.164,29.69
89387,1.04,1000.25,-8.121,-4.417,-0.098,0.008,0.486,-0.094,29.68
89413,1.09,1000.25,-9.395,-3.924,0.010,0.301,0.198,0.268,29.69
89443,1.09,1000.25,-8.645,-4.336,0.572,0.587,-0.052,0.337,29.70
89468,1.04,1000.25,-8.983,-3.237,0.704,0.520,-0.171,0.317,29.70
89494,1.06,1000.25,-9.333,-3.405,0.883,0.283,0.103,0.045,29.69
89520,1.03,1000.25,-9.562,-3.414,0.857,0.022,0.099,0.002,29.67
89546,1.03,1000.25,-12.306,-2.705,2.483,-0.139,0.444,-0.751,29.68
89572,1.02,1000.26,-7.329,-5.648,-0.172,-0.112,0.236,-1.254,29.70
89602,1.03,1000.25,-8.447,-5.854,0.481,0.077,-0.035,-0.906,29.70
89628,1.04,1000.25,-8.554,-5.294,0.486,0.019,-0.028,-0.199,29.69
89653,1.06,1000.25,-8.078,-4.681,0.472,0.118,-0.074,0.309,29.69
89679,1.04,1000.25,-9.802,-3.390,2.899,-0.119,-0.027,0.258,29.68
89705,1.02,1000.26,-7.681,-5.076,0.292,-0.683,0.369,-0.260,29.70
89731,1.08,1000.25,-8.150,-4.202,0.213,-0.559,0.357,-0.291,29.69
89761,1.07,1000.25,-8.128,-4.606,-0.017,-0.230,0.223,-0.122,29.70
89787,1.07,1000.25,-8.813,-4.233,0.065,-0.017,0.231,-0.015,29.67
89813,1.08,1000.25,-8.174,-4.894,-0.424,0.123,0.172,0.060,29.68
89839,1.05,1000.25,-8.667,-4.458,0.187,0.241,0.228,0.096,29.68
89864,1.08,1000.25,-7.925,-4.159,0.022,0.106,0.171,0.059,29.67
89890,1.09,1000.25,-8.969,-5.073,0.364,0.165,0.081,-0.011,29.70
89920,1.05,1000.25,-8.368,-4.578,-0.620,0.184,0.207,0.061,29.68
89946,1.06,1000.25,-7.956,-4.922,-0.907,0.341,0.031,0.141,29.69
89972,1.04,1000.25,-8.595,-4.259,0.309,0.489,-0.051,0.179,29.67
89998,1.05,1000.25,-8.468,-3.965,0.275,0.511,0.005,0.117,29.69
90024,1.05,1000.25,-8.423,-4.207,0.318,0.419,0.145,0.008,29.66
90049,1.06,1000.25,-7.961,-4.458,-0.122,0.313,0.273,0.075,29.66
90087,1.08,1000.25,-8.770,-4.025,0.627,0.273,0.166,-0.016,29.68
90141,1.11,1000.24,-8.375,-4.889,0.089,0.161,0.059,-0.090,29.66
90167,1.03,1000.25,-8.265,-4.271,-0.247,0.203,0.156,-0.086,29.66
90193,1.10,1000.25,-8.768,-4.776,0.393,0.269,0.122,0.078,29.65
90219,1.04,1000.25,-8.830,-4.506,0.400,0.112,0.120,0.168,29.64
90245,1.12,1000.24,-8.811,-4.056,-0.304,0.060,0.247,0.049,29.66
90275,1.03,1000.25,-8.701,-4.513,-0.105,0.090,0.140,0.233,29.66
90301,1.08,1000.25,-8.705,-4.487,0.206,-0.076,0.195,0.099,29.68
90326,1.03,1000.25,-8.473,-4.444,-0.905,-0.203,0.273,0.100,29.67
90352,1.04,1000.25,-23.138,19.776,-6.893,-2.899,-1.873,-0.903,29.69
90378,1.07,1000.25,-3.587,-8.241,-5.770,-4.526,2.198,-2.077,29.70
90404,1.10,1000.25,-4.913,-4.094,-10.283,-4.141,-0.072,-0.924,29.72
90434,1.08,1000.25,-8.691,-5.339,-5.480,-0.637,-0.722,-0.419,29.71
90459,1.08,1000.25,-9.969,-4.561,-1.865,0.272,-0.215,-0.061,29.70
90485,1.09,1000.25,-9.009,-3.318,-2.416,0.118,0.352,0.161,29.72
90511,1.08,1000.25,-7.752,-3.668,-2.361,0.461,0.199,0.081,29.73
90537,1.11,1000.24,-7.298,-4.489,-0.515,1.029,0.112,-0.319,29.73
90563,1.12,1000.24,-6.905,-5.416,-1.365,0.724,0.465,-0.572,29.72
90592,1.11,1000.25,-6.570,-5.638,-2.717,0.192,0.394,-0.001,29.75
90618,1.11,1000.24,-8.088,-5.509,-1.697,0.233,0.111,0.129,29.71
90644,1.11,1000.24,-8.871,-5.155,-1.583,0.271,0.264,-0.130,29.71
90670,1.05,1000.25,-6.656,-5.461,-2.523,0.325,0.408,-0.294,29.73
90696,1.09,1000.25,-7.226,-5.222,-2.744,0.366,-0.007,0.111,29.72
90721,1.08,1000.25,-7.831,-5.432,-2.471,0.436,-0.342,0.240,29.73
90751,1.10,1000.25,-8.229,-5.358,-1.001,0.500,-0.464,0.291,29.72
90777,1.11,1000.24,-8.363,-5.071,-1.073,0.196,-0.415,0.189,29.72
90803,1.09,1000.25,-7.554,-4.891,-1.870,0.211,-0.447,0.142,29.72
90829,1.10,1000.25,-7.424,-4.877,-1.389,0.424,-0.714,0.135,29.71
90854,1.07,1000.25,-8.150,-5.239,-0.364,0.573,-0.588,-0.025,29.73
90880,1.11,1000.25,-8.100,-5.234,-0.180,0.397,-0.322,-0.168,29.72
90910,1.08,1000.25,-7.262,-5.523,-0.644,0.020,-0.508,-0.212,29.73
90935,1.09,1000.25,-8.080,-5.377,-0.101,-0.007,-0.569,-0.136,29.73
90961,1.08,1000.25,-8.413,-5.385,0.316,-0.011,-0.326,-0.224,29.72
90987,1.05,1000.25,-8.207,-5.545,-0.294,-0.092,-0.201,-0.136,29.71
91013,1.07,1000.25,-8.370,-5.428,-0.725,-0.036,-0.186,-0.066,29.71
91038,1.06,1000.25,-8.116,-5.193,-0.840,0.076,-0.269,-0.044,29.71
91068,1.09,1000.25,-7.994,-5.516,0.024,0.219,-0.257,0.177,29.72
91094,1.14,1000.24,-8.298,-4.908,-0.462,0.208,-0.137,0.029,29.73
91119,1.10,1000.25,-8.195,-5.162,-0.409,0.250,-0.230,0.037,29.72
