timestamp,alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
6141,1.00,993.79,5.440,-4.075,7.178,0.647,-0.904,0.654,38.01
6157,1.05,993.78,4.420,-4.190,6.680,0.217,-1.268,0.451,38.01
6172,0.99,993.79,3.893,-3.840,6.934,0.185,-1.187,0.372,38.04
6188,1.01,993.79,3.132,-4.065,6.335,0.317,-0.750,0.473,38.04
6203,1.07,993.78,2.691,-4.530,5.392,0.369,-0.196,0.335,38.02
6223,1.05,993.78,3.266,-3.840,5.784,0.660,0.557,0.567,38.05
6238,1.07,993.78,4.180,-3.342,6.230,0.784,0.579,0.115,38.02
6254,1.04,993.78,5.502,-3.376,7.173,1.084,0.397,-0.294,38.03
6269,1.05,993.78,6.091,-4.175,7.676,1.601,0.222,-0.074,38.04
6285,1.07,993.78,5.775,-5.473,7.192,1.272,-0.156,0.188,38.04
6301,1.10,993.78,4.951,-6.220,6.249,0.292,-0.638,0.488,38.02
6320,1.13,993.77,3.917,-4.717,6.622,-0.795,-0.770,1.105,38.02
6336,1.12,993.78,3.558,-3.524,7.015,-0.962,-0.407,1.217,38.02
6351,1.09,993.78,2.648,-3.203,6.167,-1.123,-0.072,0.955,38.03
6367,1.11,993.78,2.763,-2.610,5.976,-1.297,0.128,0.049,38.02
6383,1.15,993.77,3.428,-2.763,5.837,-0.816,0.544,-0.129,38.04
6398,1.15,993.77,4.511,-3.534,6.215,-0.261,0.863,-0.206,38.03
6418,1.16,993.77,5.799,-4.032,7.015,-0.077,0.531,-0.848,38.02
6433,1.13,993.77,6.081,-4.602,6.991,0.144,0.352,-0.532,38.01
6449,1.15,993.77,5.674,-4.975,7.173,0.038,-0.015,-0.120,38.00
6465,1.17,993.77,4.788,-4.688,6.867,-0.657,-0.539,-0.364,38.02
6480,1.19,993.77,3.773,-4.429,6.230,-1.013,-0.495,-0.007,38.02
6496,1.17,993.77,3.630,-3.874,6.555,-0.968,-0.146,0.038,38.00
6515,1.18,993.77,3.452,-3.634,6.057,-0.940,0.124,-0.281,38.02
6531,1.22,993.76,4.032,-3.127,6.474,-0.608,0.341,-0.508,38.00
6547,1.17,993.77,4.477,-2.988,6.790,-0.250,0.366,-0.820,38.00
6562,1.17,993.77,4.741,-3.390,6.823,-0.237,0.200,-1.266,38.04
6578,1.20,993.77,4.827,-3.960,6.943,-0.156,0.070,-1.333,38.01
6594,1.20,993.77,4.970,-4.539,7.192,-0.012,0.049,-1.298,38.03
6613,1.21,993.76,5.018,-5.191,7.293,0.119,0.087,-1.263,38.01
6629,1.24,993.76,4.808,-5.464,7.183,0.144,0.161,-0.968,38.05
6644,1.22,993.76,4.731,-5.124,7.374,-0.006,0.166,-0.858,38.04
6660,1.25,993.76,4.554,-4.611,7.446,-0.082,0.330,-0.738,38.04
6676,1.24,993.76,4.310,-4.549,6.948,-0.223,0.462,-0.686,38.04
6691,1.25,993.76,4.195,-4.439,6.661,-0.460,0.632,-0.565,38.03
6711,1.24,993.76,4.065,-4.223,6.278,-0.699,0.811,-0.454,38.02
6726,1.27,993.76,4.065,-3.859,6.029,-0.796,0.941,-0.402,38.04
6742,1.30,993.75,4.123,-3.505,5.957,-0.735,1.096,-0.362,38.01
6758,1.30,993.75,4.329,-3.376,5.914,-0.540,1.215,-0.350,38.05
6773,1.29,993.76,4.472,-3.543,5.598,-0.306,1.188,-0.442,38.02
6789,1.25,993.76,4.578,-3.634,5.368,-0.065,1.092,-0.408,38.03
6808,1.30,993.75,4.683,-3.242,5.689,0.252,0.913,-0.378,38.04
6824,1.30,993.75,4.487,-3.151,6.048,0.499,0.734,-0.533,38.03
6840,1.29,993.76,4.137,-3.390,6.139,0.503,0.604,-0.782,38.01
6855,1.32,993.75,3.778,-3.907,6.187,0.255,0.606,-0.919,38.04
6871,1.35,993.75,3.859,-4.185,6.479,-0.070,0.690,-1.125,38.03
6887,1.31,993.75,3.788,-4.616,6.187,-0.252,0.897,-1.216,38.04
6906,1.34,993.75,4.118,-4.741,5.660,-0.252,1.300,-0.875,38.03
6922,1.32,993.75,4.391,-4.310,5.420,-0.343,1.271,-0.773,38.03
