timestamp,alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
21555,1.06,993.81,1.116,-6.426,-5.306,-3.206,1.991,-1.128,38.17
21578,1.05,993.81,1.365,-6.086,-6.661,-2.287,1.933,-0.669,38.17
21601,1.07,993.81,2.160,-5.741,-6.680,-1.750,1.787,-0.822,38.17
21625,1.12,993.81,2.782,-5.665,-7.197,-1.427,0.923,-1.114,38.17
21648,1.13,993.80,2.840,-5.655,-7.800,-0.838,0.149,-0.535,38.17
21671,1.15,993.80,2.265,-5.430,-7.259,-0.102,-0.712,-0.052,38.17
21694,1.18,993.80,1.422,-5.837,-6.675,0.633,-1.082,0.489,38.18
21718,1.22,993.79,0.871,-6.225,-5.444,0.786,-1.596,0.500,38.15
21741,1.18,993.80,-0.259,-7.039,-5.545,0.764,-1.961,0.576,38.15
21764,1.24,993.79,-0.943,-6.967,-4.472,0.840,-1.365,1.235,38.19
21788,1.24,993.79,-1.796,-6.905,-3.792,0.104,-1.422,0.669,38.19
21811,1.29,993.79,-2.835,-6.852,-4.401,-0.835,-1.141,-0.834,38.16
21835,1.33,993.78,-2.413,-6.694,-4.180,-0.465,1.075,-0.891,38.14
21858,1.36,993.78,-0.172,-7.934,-4.487,-0.577,3.123,-1.064,38.17
21881,1.32,993.78,2.236,-8.068,-4.477,-1.987,3.525,-1.349,38.15
21905,1.38,993.78,3.395,-6.551,-5.526,-4.047,2.507,-2.036,38.14
21928,1.40,993.77,3.615,-4.673,-7.254,-4.323,1.900,-1.204,38.17
21952,1.44,993.77,4.223,-3.031,-7.484,-4.063,1.746,-0.085,38.17
21975,1.42,993.77,4.166,-1.326,-8.452,-3.983,-0.055,-0.427,38.17
21999,1.46,993.77,2.729,-0.182,-9.855,-3.060,-1.166,0.296,38.18
22022,1.49,993.76,1.657,1.030,-9.701,-1.390,-1.809,0.417,38.16
22046,1.45,993.77,0.254,0.493,-9.922,0.444,-1.676,0.508,38.14
22069,1.44,993.77,0.335,-0.412,-8.973,1.621,-0.891,0.042,38.15
22093,1.53,993.76,0.646,-2.083,-8.758,2.540,-0.777,-0.382,38.16
22117,1.52,993.76,0.972,-3.500,-7.527,3.070,-0.960,-0.254,38.15
22140,1.53,993.76,0.450,-5.306,-7.168,2.666,-1.516,-0.880,38.17
22164,1.49,993.76,0.158,-6.302,-6.354,1.941,-1.310,-1.208,38.14
22187,1.50,993.76,0.024,-7.360,-6.158,1.254,-0.389,-0.530,38.16
22211,1.54,993.76,0.417,-7.934,-6.598,0.257,0.311,-0.342,38.16
