timestamp,alt,pres,a_x,a_y,a_z,g_x,g_y,g_z,temp
4012,1.03,970.49,2.236,0.747,9.677,0.369,-0.111,-0.240,30.84
4029,1.15,970.47,2.136,0.335,9.543,0.361,-0.032,-0.222,30.84
4045,1.28,970.46,1.982,0.335,9.553,0.414,-0.030,-0.263,30.85
4062,1.45,970.44,2.016,0.369,9.548,0.496,-0.070,-0.282,30.87
4078,1.58,970.43,2.198,1.130,9.562,0.551,-0.100,-0.295,30.86
4095,1.62,970.42,2.298,1.556,9.591,0.451,-0.064,-0.238,30.84
4111,1.73,970.41,2.361,1.269,9.682,0.283,0.013,-0.187,30.87
4128,1.76,970.40,2.418,1.092,9.591,0.218,0.092,-0.161,30.85
4145,1.81,970.40,2.298,0.972,9.495,0.205,0.150,-0.144,30.83
4164,1.92,970.39,2.011,0.876,9.562,0.258,0.126,-0.134,30.86
4180,1.95,970.38,2.078,1.092,9.582,0.338,0.052,-0.117,30.86
4197,1.98,970.38,2.121,1.408,9.615,0.392,0.018,-0.102,30.86
4213,2.02,970.37,2.207,1.657,9.629,0.391,0.040,-0.067,30.86
4230,2.10,970.37,2.337,1.887,9.620,0.304,0.079,0.025,30.85
4246,2.07,970.37,2.346,1.935,9.629,0.147,0.103,0.188,30.85
4263,2.10,970.37,2.088,1.733,9.534,0.076,0.139,0.254,30.86
4279,2.15,970.36,1.872,1.776,9.591,0.078,0.133,0.203,30.87
4296,2.20,970.35,1.733,1.686,9.448,0.105,0.090,0.106,30.88
4313,2.19,970.35,1.719,1.245,9.538,0.172,0.015,-0.043,30.87
4332,2.23,970.35,2.174,1.499,9.457,0.283,-0.042,-0.090,30.86
4348,2.30,970.34,2.365,1.776,9.462,0.267,-0.013,0.100,30.86
4365,2.24,970.35,2.265,1.944,9.476,0.197,0.029,0.293,30.86
4381,2.23,970.35,2.069,2.025,9.634,0.158,0.067,0.366,30.85
4398,2.29,970.34,2.021,2.016,9.653,0.137,0.052,0.395,30.84
4414,2.31,970.34,1.973,1.820,9.759,0.127,0.038,0.337,30.87
4431,2.30,970.34,2.006,1.662,9.716,0.169,0.050,0.267,30.86
4447,2.24,970.35,2.112,1.896,9.615,0.226,0.090,0.234,30.88
4464,2.25,970.35,2.049,1.867,9.500,0.182,0.144,0.280,30.86
4481,2.20,970.35,1.863,1.781,9.515,0.137,0.174,0.312,30.89
4500,2.12,970.36,1.604,1.590,9.443,0.160,0.156,0.235,30.88
4516,2.13,970.36,1.556,1.609,9.285,0.223,0.104,0.092,30.88
4533,2.09,970.37,1.724,1.729,9.256,0.225,0.038,0.010,30.87
4549,2.02,970.37,1.863,1.729,9.251,0.195,0.005,0.023,30.87
4566,1.99,970.38,1.891,1.753,9.117,0.171,-0.013,0.103,30.89
4582,1.94,970.38,1.829,1.772,9.179,0.204,-0.034,0.107,30.88
4599,1.92,970.39,1.834,2.030,9.055,0.286,-0.084,0.039,30.85
4615,1.88,970.39,1.829,2.217,9.136,0.379,-0.148,-0.071,30.89
4632,1.89,970.39,2.011,2.528,9.131,0.420,-0.202,-0.247,30.89
4649,1.83,970.40,2.385,2.950,8.988,0.350,-0.167,-0.327,30.88
4668,1.70,970.41,2.528,2.854,8.610,0.121,-0.016,-0.238,30.87
4684,1.59,970.42,2.279,2.624,8.648,-0.105,0.112,-0.019,30.87
4701,1.55,970.43,1.820,2.126,8.605,-0.187,0.113,0.118,30.87
4717,1.55,970.43,1.571,1.642,8.629,-0.123,0.017,0.053,30.89
4734,1.50,970.43,1.686,1.489,8.562,0.049,-0.133,-0.181,30.87
4750,1.50,970.43,2.088,1.686,8.547,0.198,-0.172,-0.388,30.87
4767,1.41,970.44,2.495,2.361,8.586,0.237,-0.076,-0.305,30.87
4783,1.41,970.44,2.523,2.519,8.466,0.077,0.041,-0.058,30.88
4800,1.44,970.44,2.342,2.370,8.413,-0.071,0.129,0.084,30.89
4817,1.49,970.44,2.025,2.054,8.270,-0.110,0.188,0.139,30.90
4836,1.52,970.43,1.700,1.800,8.083,-0.093,0.192,0.096,30.88
4852,1.56,970.43,1.580,1.709,8.035,-0.045,0.136,0.057,30.87
4869,1.63,970.42,1.571,1.499,7.925,-0.011,0.060,0.045,30.89
4885,1.67,970.41,1.705,1.369,7.786,-0.005,0.008,0.059,30.88
4901,1.66,970.42,1.882,1.437,7.518,0.016,0.005,0.104,30.89
4918,1.60,970.42,1.915,1.480,7.350,0.044,0.033,0.168,30.91
4935,1.54,970.43,1.911,1.695,7.216,0.010,0.077,0.221,30.89
4951,1.53,970.43,1.882,1.800,6.938,-0.057,0.156,0.329,30.90
4968,1.52,970.43,1.666,1.839,6.895,-0.164,0.256,0.481,30.90
4985,1.51,970.43,1.283,1.432,6.938,-0.267,0.288,0.618,30.91
5004,1.45,970.44,0.862,0.943,6.948,-0.270,0.241,0.587,30.89
5020,1.47,970.44,0.771,0.469,6.914,-0.192,0.151,0.458,30.91
5037,1.54,970.43,0.766,0.335,6.685,-0.108,0.085,0.325,30.91
5053,1.51,970.43,0.757,0.565,6.685,-0.044,0.103,0.239,30.90
5069,1.49,970.44,0.613,0.728,6.723,-0.031,0.096,0.234,30.90
5086,1.54,970.43,0.498,1.010,6.852,-0.062,-0.037,0.339,30.91
5103,1.48,970.44,0.871,1.120,6.795,-0.013,-0.313,0.400,30.90
5119,1.42,970.44,1.709,1.772,6.905,0.073,-0.504,0.311,30.90
5136,1.37,970.45,2.346,2.466,7.015,0.107,-0.485,0.275,30.90
5153,1.26,970.46,2.370,3.060,7.278,0.034,-0.216,0.277,30.91
5172,1.17,970.47,2.131,2.902,7.542,-0.217,0.092,0.249,30.89
5188,1.05,970.49,2.064,2.313,7.666,-0.487,0.147,0.247,30.92
5204,0.97,970.50,2.471,1.911,7.757,-0.751,0.058,0.387,30.93
5221,0.81,970.51,2.619,2.011,8.193,-0.930,0.047,0.628,30.90
5237,0.71,970.53,2.217,2.160,8.495,-1.050,0.208,0.846,30.92
5254,0.61,970.54,1.528,1.724,8.921,-0.984,0.392,0.771,30.91
